1870
230  SPN  4
255  GMY  2
325  ITA  5
710  CHN  1
740  JPN  1
155  CHL  2
160  ARG  4
225  SWZ  5
350  GRC  5
365  RUS  5
380  SWD  2
390  DEN  2
640  TUR  5
165  URU  2
235  POR  2
360  ROM  3
300  AUH  5
345  YUG  5
630  IRN  5

1904
2  USA  1
40  CUB  1
70  MEX  1
101  VEN  1
135  PER  1
140  BRA  2
200  UKG  2
210  NTH  3
211  BEL  3
220  FRN  4
230  SPN  4
255  GMY  4
300  AUH  3
325  ITA  4
710  CHN  1
740  JPN  1
165  URU  2
155  CHL  4
160  ARG  2
225  SWZ  4
350  GRC  3
365  RUS  3
380  SWD  4
390  DEN  4
640  TUR  2
235  POR  2
360  ROM  3
345  YUG  3
630  IRN  3

1905
2  USA  1
40  CUB  1
70  MEX  1
92  SAL  1
101  VEN  1
130  ECU  1
140  BRA  1
200  UKG  2
210  NTH  1
211  BEL  3
220  FRN  3
230  SPN  3
255  GMY  2
325  ITA  3
710  CHN  1
740  JPN  1
135  PER  2
155  CHL  2
160  ARG  2
165  URU  2
225  SWZ  3
235  POR  2
350  GRC  3
365  RUS  1
380  SWD  2
385  NOR  2
390  DEN  2
600  MOR  3
640  TUR  3
800  THI  2
360  ROM  3
300  AUH  3
345  YUG  3
630  IRN  1

1906
2  USA  1
40  CUB  1
70  MEX  1
101  VEN  1
140  BRA  1
200  UKG  2
210  NTH  3
211  BEL  3
220  FRN  4
230  SPN  4
255  GMY  3
325  ITA  5
710  CHN  1
740  JPN  1
135  PER  2
155  CHL  2
160  ARG  3
165  URU  2
235  POR  2
350  GRC  3
365  RUS  6
380  SWD  3
390  DEN  3
600  MOR  4
640  TUR  5
360  ROM  3
225  SWZ  4
300  AUH  3
385  NOR  3
145  BOL  3
345  YUG  3
630  IRN  6

1907
2  USA  1
70  MEX  1
101  VEN  1
140  BRA  1
200  UKG  2
210  NTH  3
220  FRN  4
255  GMY  4
325  ITA  4
740  JPN  1
135  PER  2
155  CHL  5
160  ARG  6
165  URU  2
211  BEL  3
230  SPN  4
235  POR  2
350  GRC  2
365  RUS  7
380  SWD  8
385  NOR  9
390  DEN  10
600  MOR  2
640  TUR  2
710  CHN  1
225  SWZ  4
300  AUH  4
345  YUG  4
